x,y
343,550
344,550
345,550
346,550
347,550
348,550
349,550
350,550
351,550
351,551
352,551
352,552
353,552
353,553
354,553
354,554
355,554
355,555
356,555
356,556
357,556
357,557
358,557
358,558
359,558
359,559
360,559
360,560
361,560
361,561
362,561
362,562
363,562
363,563
364,563
364,564
365,564
365,565
366,565
366,566
367,566
367,567
368,567
368,568
369,568
369,569
370,569
370,570
371,570
371,571
372,571
372,572
373,572
373,573
374,573
374,574
375,574
375,575
376,575
376,576
377,576
377,577
378,577
378,578
379,578
379,579
380,579
380,580
381,580
381,581
382,581
382,582
383,582
383,583
384,583
384,584
385,584
385,585
386,585
386,586
387,586
387,587
388,587
388,588
389,588
389,589
390,589
390,590
391,590
391,591
392,591
392,592
393,592
393,593
394,593
394,594
395,594
395,595
396,595
396,596
397,596
397,597
398,597
398,598
399,598
399,599
